WBGeneID,Sequence.name,tissue
WBGene00000007,aat-6,intestine
WBGene00000008,aat-7,intestine
WBGene00000016,abf-5,nervous-system
WBGene00000031,abu-8,intestine
WBGene00000034,abu-11,nervous-system
WBGene00000038,ace-4,nervous-system
WBGene00000043,acr-3,nervous-system
WBGene00000044,acr-5,nervous-system
WBGene00000045,acr-6,nervous-system
WBGene00000049,acr-10,nervous-system
WBGene00000051,acr-12,nervous-system
WBGene00000056,acr-17,nervous-system
WBGene00000057,acr-18,nervous-system
WBGene00000058,acr-19,nervous-system
WBGene00000059,acr-20,nervous-system
WBGene00000061,lgc-11,nervous-system
WBGene00000071,acy-4,nervous-system
WBGene00000080,adr-2,reproductive-system
WBGene00000099,air-2,reproductive-system
WBGene00000101,aka-1,reproductive-system
WBGene00000111,alh-5,intestine
WBGene00000134,amt-2,nervous-system
WBGene00000136,amt-4,intestine
WBGene00000143,apc-2,reproductive-system
WBGene00000157,aps-2,nervous-system
WBGene00000172,aqp-4,intestine
WBGene00000174,aqp-6,nervous-system
WBGene00000177,aqp-9,intestine
WBGene00000180,arc-1,nervous-system
WBGene00000186,ark-1,reproductive-system
WBGene00000188,arl-3,nervous-system
WBGene00000193,arl-6,nervous-system
WBGene00000198,art-1,intestine
WBGene00000213,asm-3,intestine
WBGene00000214,asp-1,intestine
WBGene00000227,atm-1,reproductive-system
WBGene00000232,avr-14,nervous-system
WBGene00000233,avr-15,nervous-system
WBGene00000253,bli-3,epithelial-system
WBGene00000257,bmk-1,reproductive-system
WBGene00000264,brc-1,reproductive-system
WBGene00000265,brd-1,reproductive-system
WBGene00000269,bre-4,reproductive-system
WBGene00000284,cah-6,nervous-system
WBGene00000285,cal-1,nervous-system
WBGene00000287,cal-3,nervous-system
WBGene00000372,cyp-13A7,intestine
WBGene00000374,cyp-31A1,nervous-system
WBGene00000375,cyp-44A1,intestine
WBGene00000397,cdh-5,intestine
WBGene00000399,cdh-7,nervous-system
WBGene00000401,cdh-9,nervous-system
WBGene00000408,cdk-7,reproductive-system
WBGene00000411,cdl-1,reproductive-system
WBGene00000423,ced-9,reproductive-system
WBGene00000425,ced-11,epithelial-system
WBGene00000432,ceh-7,nervous-system
WBGene00000452,ceh-31,nervous-system
WBGene00000457,ceh-36,nervous-system
WBGene00000468,ces-1,nervous-system
WBGene00000476,cfi-1,nervous-system
WBGene00000481,cha-1,nervous-system
WBGene00000484,che-2,nervous-system
WBGene00000487,che-6,nervous-system
WBGene00000491,che-12,nervous-system
WBGene00000497,chs-2,nervous-system
WBGene00000498,chk-1,reproductive-system
WBGene00000499,chk-2,reproductive-system
WBGene00000503,cht-1,reproductive-system
WBGene00000513,ckb-3,reproductive-system
WBGene00000514,ckb-4,nervous-system
WBGene00000521,cky-1,nervous-system
WBGene00000541,cln-3.3,intestine
WBGene00000561,cnd-1,nervous-system
WBGene00000562,cng-1,nervous-system
WBGene00000565,cnt-1,nervous-system
WBGene00000592,coh-3,reproductive-system
WBGene00000593,col-2,nervous-system
WBGene00000594,col-3,intestine
WBGene00000596,col-7,epithelial-system
WBGene00000601,col-12,nervous-system
WBGene00000613,col-36,nervous-system
WBGene00000622,col-45,nervous-system
WBGene00000623,col-46,intestine
WBGene00000624,col-47,epithelial-system
WBGene00000625,col-48,nervous-system
WBGene00000628,col-51,epithelial-system
WBGene00000630,col-53,nervous-system
WBGene00000632,col-55,nervous-system
WBGene00000636,col-60,nervous-system
WBGene00000640,col-64,nervous-system
WBGene00000644,col-68,nervous-system
WBGene00000656,col-80,reproductive-system
WBGene00000657,col-81,reproductive-system
WBGene00000658,col-83,intestine
WBGene00000661,col-86,intestine
WBGene00000662,col-87,nervous-system
WBGene00000663,col-88,nervous-system
WBGene00000666,col-91,epithelial-system
WBGene00000667,col-92,epithelial-system
WBGene00000668,col-93,epithelial-system
WBGene00000676,col-102,nervous-system
WBGene00000682,col-108,nervous-system
WBGene00000684,col-110,nervous-system
WBGene00000685,col-111,nervous-system
WBGene00000693,col-119,reproductive-system
WBGene00000699,col-125,intestine
WBGene00000700,col-126,epithelial-system
WBGene00000701,col-127,epithelial-system
WBGene00000705,col-131,nervous-system
WBGene00000712,col-139,epithelial-system
WBGene00000714,col-141,epithelial-system
WBGene00000717,col-144,epithelial-system
WBGene00000718,col-145,nervous-system
WBGene00000722,col-149,epithelial-system
WBGene00000723,col-150,epithelial-system
WBGene00000724,col-151,intestine
WBGene00000726,col-153,intestine
WBGene00000731,col-158,nervous-system
WBGene00000732,col-159,nervous-system
WBGene00000734,col-161,nervous-system
WBGene00000736,col-163,nervous-system
WBGene00000737,col-164,nervous-system
WBGene00000739,col-166,nervous-system
WBGene00000740,col-167,intestine
WBGene00000741,col-168,intestine
WBGene00000745,col-172,nervous-system
WBGene00000747,col-174,nervous-system
WBGene00000752,col-179,epithelial-system
WBGene00000757,col-184,epithelial-system
WBGene00000758,col-185,nervous-system
WBGene00000759,col-186,nervous-system
WBGene00000766,coq-6,reproductive-system
WBGene00000768,cor-1,nervous-system
WBGene00000771,cpb-2,reproductive-system
WBGene00000773,cpf-1,reproductive-system
WBGene00000786,cpr-6,intestine
WBGene00000797,crn-4,reproductive-system
WBGene00000801,cars-2,nervous-system
WBGene00000813,csn-1,reproductive-system
WBGene00000820,csp-2,reproductive-system
WBGene00000821,csp-3,reproductive-system
WBGene00000859,cwp-1,nervous-system
WBGene00000860,cwp-2,nervous-system
WBGene00000861,cwp-3,nervous-system
WBGene00000862,cwp-4,nervous-system
WBGene00000869,cyc-1,reproductive-system
WBGene00000889,cyn-13,reproductive-system
WBGene00000891,cyn-15,reproductive-system
WBGene00000907,daf-11,nervous-system
WBGene00000933,dap-3,reproductive-system
WBGene00000934,dat-1,nervous-system
WBGene00000937,dbr-1,reproductive-system
WBGene00000950,deg-1,nervous-system
WBGene00000951,deg-3,nervous-system
WBGene00000952,del-1,nervous-system
WBGene00000955,des-2,nervous-system
WBGene00000959,dgk-2,nervous-system
WBGene00000966,dhs-2,intestine
WBGene00000967,dhs-3,intestine
WBGene00000970,dhs-6,reproductive-system
WBGene00000971,dhs-7,intestine
WBGene00000972,dhs-8,nervous-system
WBGene00000974,dhs-11,reproductive-system
WBGene00000976,dhs-13,reproductive-system
WBGene00000983,dhs-20,intestine
WBGene00000988,dhs-25,intestine
WBGene00000992,dhs-29,nervous-system
WBGene00001000,dim-1,reproductive-system
WBGene00001002,div-1,reproductive-system
WBGene00001008,dlk-1,nervous-system
WBGene00001036,dnj-18,reproductive-system
WBGene00001054,dpf-1,nervous-system
WBGene00001063,dpy-1,epithelial-system
WBGene00001068,dpy-6,nervous-system
WBGene00001087,dpy-28,reproductive-system
WBGene00001099,dsc-4,intestine
WBGene00001106,dsl-4,coelomic-system
WBGene00001107,dsl-5,reproductive-system
WBGene00001110,duo-1,reproductive-system
WBGene00001111,duo-2,reproductive-system
WBGene00001112,duo-3,reproductive-system
WBGene00001117,dyf-1,nervous-system
WBGene00001129,dyf-13,nervous-system
WBGene00001147,eat-18,nervous-system
WBGene00001154,ech-5,reproductive-system
WBGene00001156,ech-7,intestine
WBGene00001164,efn-3,reproductive-system
WBGene00001166,eftu-2,reproductive-system
WBGene00001178,egl-9,nervous-system
WBGene00001179,egl-10,nervous-system
WBGene00001214,ego-1,reproductive-system
WBGene00001229,eif-3.F,reproductive-system
WBGene00001237,elc-2,nervous-system
WBGene00001246,elo-8,nervous-system
WBGene00001310,end-1,nervous-system
WBGene00001334,ero-1,reproductive-system
WBGene00001336,qars-1,reproductive-system
WBGene00001399,fat-7,intestine
WBGene00001401,fbf-1,reproductive-system
WBGene00001402,fbf-2,reproductive-system
WBGene00001406,fce-2,reproductive-system
WBGene00001410,feh-1,nervous-system
WBGene00001412,fem-2,reproductive-system
WBGene00001414,fer-1,reproductive-system
WBGene00001437,fkh-5,nervous-system
WBGene00001438,fkh-6,reproductive-system
WBGene00001447,flp-4,nervous-system
WBGene00001450,flp-7,nervous-system
WBGene00001451,flp-8,nervous-system
WBGene00001455,flp-12,nervous-system
WBGene00001457,flp-14,nervous-system
WBGene00001459,flp-16,nervous-system
WBGene00001460,flp-17,nervous-system
WBGene00001465,flr-1,intestine
WBGene00001466,flr-2,nervous-system
WBGene00001481,fog-1,reproductive-system
WBGene00001483,fog-3,reproductive-system
WBGene00001490,frm-3,nervous-system
WBGene00001506,fut-2,intestine
WBGene00001513,gad-1,reproductive-system
WBGene00001515,gap-1,nervous-system
WBGene00001517,gar-1,nervous-system
WBGene00001529,gcy-2,nervous-system
WBGene00001530,gcy-3,nervous-system
WBGene00001531,gcy-4,nervous-system
WBGene00001532,gcy-5,nervous-system
WBGene00001533,gcy-6,nervous-system
WBGene00001534,gcy-7,nervous-system
WBGene00001535,gcy-8,nervous-system
WBGene00001536,gcy-9,nervous-system
WBGene00001537,gcy-11,nervous-system
WBGene00001540,gcy-14,nervous-system
WBGene00001541,gcy-15,nervous-system
WBGene00001542,gcy-17,nervous-system
WBGene00001546,gcy-21,nervous-system
WBGene00001547,gcy-22,nervous-system
WBGene00001548,gcy-23,nervous-system
WBGene00001549,gcy-25,nervous-system
WBGene00001551,gcy-31,nervous-system
WBGene00001552,gcy-32,nervous-system
WBGene00001554,gcy-34,nervous-system
WBGene00001555,gcy-35,nervous-system
WBGene00001556,gcy-36,nervous-system
WBGene00001557,gcy-37,nervous-system
WBGene00001572,gei-15,nervous-system
WBGene00001578,ges-1,intestine
WBGene00001586,lgc-57,nervous-system
WBGene00001588,lgc-56,nervous-system
WBGene00001593,glc-3,nervous-system
WBGene00001599,glh-2,reproductive-system
WBGene00001600,glh-3,reproductive-system
WBGene00001602,gln-1,nervous-system
WBGene00001603,gln-2,reproductive-system
WBGene00001605,gln-4,reproductive-system
WBGene00001612,glr-1,nervous-system
WBGene00001615,glr-4,nervous-system
WBGene00001617,glr-6,nervous-system
WBGene00001618,glr-7,nervous-system
WBGene00001619,glr-8,nervous-system
WBGene00001622,glt-4,nervous-system
WBGene00001625,glt-7,excretory-system
WBGene00001630,gly-5,coelomic-system
WBGene00001635,gly-10,reproductive-system
WBGene00001644,gly-19,intestine
WBGene00001665,gpa-3,nervous-system
WBGene00001667,gpa-5,nervous-system
WBGene00001673,gpa-11,nervous-system
WBGene00001675,gpa-13,nervous-system
WBGene00001683,gpd-1,reproductive-system
WBGene00001686,gpd-4,reproductive-system
WBGene00001688,gpr-1,reproductive-system
WBGene00001698,grd-9,intestine
WBGene00001720,grl-11,nervous-system
WBGene00001727,grl-18,nervous-system
WBGene00001729,grl-20,nervous-system
WBGene00001730,grl-21,epithelial-system
WBGene00001731,grl-22,epithelial-system
WBGene00001732,grl-23,nervous-system
WBGene00001735,grl-26,epithelial-system
WBGene00001744,gars-1,reproductive-system
WBGene00001750,gst-2,intestine
WBGene00001759,gst-11,nervous-system
WBGene00001763,gst-15,nervous-system
WBGene00001767,gst-19,coelomic-system
WBGene00001773,gst-25,nervous-system
WBGene00001777,gst-29,nervous-system
WBGene00001779,gst-31,nervous-system
WBGene00001780,gst-32,reproductive-system
WBGene00001788,gst-40,nervous-system
WBGene00001791,gst-43,nervous-system
WBGene00001814,haf-4,intestine
WBGene00001829,hcp-1,reproductive-system
WBGene00001838,hda-10,reproductive-system
WBGene00001859,hil-8,nervous-system
WBGene00001864,him-5,reproductive-system
WBGene00001869,him-10,reproductive-system
WBGene00001872,him-14,reproductive-system
WBGene00001875,his-1,reproductive-system
WBGene00001879,his-5,reproductive-system
WBGene00001884,his-10,nervous-system
WBGene00001885,his-11,nervous-system
WBGene00001886,his-12,nervous-system
WBGene00001887,his-13,nervous-system
WBGene00001888,his-14,nervous-system
WBGene00001890,his-16,nervous-system
WBGene00001893,his-19,nervous-system
WBGene00001895,his-21,nervous-system
WBGene00001899,his-25,nervous-system
WBGene00001900,his-26,nervous-system
WBGene00001903,his-29,nervous-system
WBGene00001904,his-30,nervous-system
WBGene00001905,his-31,reproductive-system
WBGene00001907,his-33,nervous-system
WBGene00001908,his-34,nervous-system
WBGene00001911,his-37,nervous-system
WBGene00001912,his-38,reproductive-system
WBGene00001917,his-43,nervous-system
WBGene00001925,his-51,nervous-system
WBGene00001927,his-53,nervous-system
WBGene00001928,his-54,nervous-system
WBGene00001931,his-57,reproductive-system
WBGene00001939,his-65,reproductive-system
WBGene00001943,his-69,epithelial-system
WBGene00001947,his-73,nervous-system
WBGene00001951,hlh-4,nervous-system
WBGene00001954,hlh-10,nervous-system
WBGene00001956,hlh-12,reproductive-system
WBGene00001957,hlh-13,nervous-system
WBGene00001963,btb-1,reproductive-system
WBGene00001986,hot-1,nervous-system
WBGene00001989,hot-4,nervous-system
WBGene00001991,hot-6,nervous-system
WBGene00001998,hpr-17,reproductive-system
WBGene00002006,hsp-2,reproductive-system
WBGene00002011,hsp-12.2,intestine
WBGene00002012,hsp-12.3,intestine
WBGene00002033,htp-2,reproductive-system
WBGene00002037,hum-4,nervous-system
WBGene00002068,ify-1,reproductive-system
WBGene00002069,ikb-1,nervous-system
WBGene00002075,imb-1,reproductive-system
WBGene00002077,imb-3,reproductive-system
WBGene00002079,xpo-2,reproductive-system
WBGene00002097,ins-14,nervous-system
WBGene00002107,ins-24,nervous-system
WBGene00002108,ins-25,nervous-system
WBGene00002123,inx-1,nervous-system
WBGene00002140,inx-18,nervous-system
WBGene00002178,jnk-1,nervous-system
WBGene00002191,kin-3,reproductive-system
WBGene00002193,kin-5,nervous-system
WBGene00002200,kin-16,epithelial-system
WBGene00002206,kin-24,reproductive-system
WBGene00002212,kin-31,reproductive-system
WBGene00002215,klc-2,nervous-system
WBGene00002224,klp-13,nervous-system
WBGene00002226,klp-16,reproductive-system
WBGene00002228,klp-18,reproductive-system
WBGene00002229,klp-19,reproductive-system
WBGene00002233,kqt-1,nervous-system
WBGene00002239,ksr-1,nervous-system
WBGene00002242,kvs-1,nervous-system
WBGene00002243,lad-2,nervous-system
WBGene00002244,laf-1,reproductive-system
WBGene00002252,lat-2,excretory-system
WBGene00002255,lbp-3,intestine
WBGene00002275,lem-2,reproductive-system
WBGene00002348,myo-1,nervous-system
WBGene00002601,let-381,coelomic-system
WBGene00002804,let-630,reproductive-system
WBGene00002974,lev-1,nervous-system
WBGene00002977,lev-10,nervous-system
WBGene00002983,lgx-1,nervous-system
WBGene00003058,lov-1,nervous-system
WBGene00003067,lrg-1,reproductive-system
WBGene00003082,lsm-8,reproductive-system
WBGene00003084,lst-2,nervous-system
WBGene00003088,lsy-6,nervous-system
WBGene00003098,lys-9,nervous-system
WBGene00003129,map-1,reproductive-system
WBGene00003132,mat-1,reproductive-system
WBGene00003133,mat-2,reproductive-system
WBGene00003144,max-2,nervous-system
WBGene00003155,mcm-3,reproductive-system
WBGene00003158,mcm-6,reproductive-system
WBGene00003161,mdf-2,reproductive-system
WBGene00003166,mec-2,nervous-system
WBGene00003171,mec-7,nervous-system
WBGene00003173,mec-9,nervous-system
WBGene00003174,mec-10,nervous-system
WBGene00003176,mec-14,nervous-system
WBGene00003178,mec-17,nervous-system
WBGene00003179,mec-18,nervous-system
WBGene00003184,mei-2,reproductive-system
WBGene00003186,mek-2,nervous-system
WBGene00003228,mex-1,reproductive-system
WBGene00003232,mgl-1,nervous-system
WBGene00003237,mif-4,nervous-system
WBGene00003252,mig-21,reproductive-system
WBGene00003258,cogc-1,reproductive-system
WBGene00003261,mir-2,nervous-system
WBGene00003264,mir-36,reproductive-system
WBGene00003265,mir-37,reproductive-system
WBGene00003266,mir-38,reproductive-system
WBGene00003267,mir-39,reproductive-system
WBGene00003268,mir-40,reproductive-system
WBGene00003274,mir-46,epithelial-system
WBGene00003288,mir-60,intestine
WBGene00003291,mir-63,intestine
WBGene00003300,mir-72,nervous-system
WBGene00003303,mir-75,intestine
WBGene00003304,mir-76,nervous-system
WBGene00003307,mir-79,epithelial-system
WBGene00003309,mir-81,nervous-system
WBGene00003313,mir-85,reproductive-system
WBGene00003314,mir-86,nervous-system
WBGene00003319,mir-124,nervous-system
WBGene00003325,mir-232,excretory-system
WBGene00003326,mir-233,intestine
WBGene00003338,mir-244,epithelial-system
WBGene00003340,mir-246,reproductive-system
WBGene00003359,mir-266,nervous-system
WBGene00003361,mir-268,nervous-system
WBGene00003362,mir-269,nervous-system
WBGene00003366,mir-273,nervous-system
WBGene00003386,mod-1,nervous-system
WBGene00003389,mog-1,reproductive-system
WBGene00003390,mog-2,reproductive-system
WBGene00003392,mog-4,reproductive-system
WBGene00003417,mrt-2,reproductive-system
WBGene00003418,msh-2,reproductive-system
WBGene00003420,msh-4,reproductive-system
WBGene00003422,msh-6,reproductive-system
WBGene00003427,msp-24,reproductive-system
WBGene00003428,msp-29,reproductive-system
WBGene00003430,msp-32,reproductive-system
WBGene00003433,msp-37,reproductive-system
WBGene00003436,msp-41,reproductive-system
WBGene00003437,msp-42,reproductive-system
WBGene00003439,msp-46,reproductive-system
WBGene00003440,msp-47,reproductive-system
WBGene00003441,msp-48,reproductive-system
WBGene00003445,msp-52,reproductive-system
WBGene00003447,msp-54,reproductive-system
WBGene00003449,msp-56,reproductive-system
WBGene00003453,msp-60,reproductive-system
WBGene00003454,msp-61,reproductive-system
WBGene00003455,msp-62,reproductive-system
WBGene00003459,msp-70,reproductive-system
WBGene00003460,msp-71,reproductive-system
WBGene00003461,msp-72,reproductive-system
WBGene00003471,mtd-1,nervous-system
WBGene00003477,mtm-5,intestine
WBGene00003507,mut-14,reproductive-system
WBGene00003508,mut-16,reproductive-system
WBGene00003535,nas-16,intestine
WBGene00003543,nas-24,reproductive-system
WBGene00003565,ncs-3,nervous-system
WBGene00003566,ncx-1,nervous-system
WBGene00003569,ncx-4,nervous-system
WBGene00003570,ncx-5,nervous-system
WBGene00003573,ncx-8,intestine
WBGene00003579,ndx-2,reproductive-system
WBGene00003608,nhr-9,nervous-system
WBGene00003614,nhr-15,nervous-system
WBGene00003628,nhr-35,intestine
WBGene00003629,nhr-38,nervous-system
WBGene00003635,nhr-45,nervous-system
WBGene00003642,nhr-52,nervous-system
WBGene00003645,nhr-55,intestine
WBGene00003662,nhr-72,epithelial-system
WBGene00003664,nhr-74,epithelial-system
WBGene00003665,nhr-75,epithelial-system
WBGene00003671,nhr-81,epithelial-system
WBGene00003672,nhr-82,epithelial-system
WBGene00003677,nhr-87,nervous-system
WBGene00003683,nhr-93,nervous-system
WBGene00003689,nhr-99,intestine
WBGene00003711,nhr-121,intestine
WBGene00003715,nhr-125,intestine
WBGene00003716,nhr-126,nervous-system
WBGene00003717,nhr-127,epithelial-system
WBGene00003730,nhx-2,intestine
WBGene00003732,nhx-4,nervous-system
WBGene00003734,nhx-6,intestine
WBGene00003748,nlp-10,nervous-system
WBGene00003749,nlp-11,nervous-system
WBGene00003760,nlp-22,nervous-system
WBGene00003761,nlp-23,epithelial-system
WBGene00003770,nlp-32,intestine
WBGene00003775,nmr-2,nervous-system
WBGene00003783,nos-1,reproductive-system
WBGene00003785,nos-3,reproductive-system
WBGene00003792,npp-6,reproductive-system
WBGene00003793,npp-7,reproductive-system
WBGene00003796,npp-10,reproductive-system
WBGene00003798,npp-12,reproductive-system
WBGene00003800,npp-14,reproductive-system
WBGene00003806,npp-20,reproductive-system
WBGene00003808,npr-2,nervous-system
WBGene00003816,asns-1,intestine
WBGene00003831,nuo-1,reproductive-system
WBGene00003835,nxf-2,reproductive-system
WBGene00003836,nxt-1,reproductive-system
WBGene00003838,ocr-1,nervous-system
WBGene00003843,oct-2,reproductive-system
WBGene00003845,odd-1,intestine
WBGene00003848,odr-1,nervous-system
WBGene00003849,odr-2,nervous-system
WBGene00003850,odr-3,nervous-system
WBGene00003854,odr-7,nervous-system
WBGene00003859,oig-1,nervous-system
WBGene00003877,pept-1,intestine
WBGene00003884,osm-3,nervous-system
WBGene00003885,osm-5,nervous-system
WBGene00003890,osm-10,nervous-system
WBGene00003898,oxi-1,reproductive-system
WBGene00003906,paf-1,nervous-system
WBGene00003943,pbo-4,intestine
WBGene00003956,pcp-1,intestine
WBGene00003957,pcp-2,intestine
WBGene00003958,pcp-3,intestine
WBGene00003959,pcp-4,rectum
WBGene00003977,pes-2.1,epithelial-system
WBGene00003983,pes-10,epithelial-system
WBGene00003993,pgl-2,reproductive-system
WBGene00003994,pgl-3,reproductive-system
WBGene00004002,pgp-8,nervous-system
WBGene00004009,pgp-15,nervous-system
WBGene00004017,phg-1,nervous-system
WBGene00004026,phy-3,reproductive-system
WBGene00004035,pkd-2,nervous-system
WBGene00004042,plk-1,reproductive-system
WBGene00004043,plk-2,reproductive-system
WBGene00004045,pll-1,nervous-system
WBGene00004049,parp-1,reproductive-system
WBGene00004086,pph-4.2,reproductive-system
WBGene00004093,ppw-1,reproductive-system
WBGene00004094,ppw-2,reproductive-system
WBGene00004099,abu-15,nervous-system
WBGene00004100,pqn-8,reproductive-system
WBGene00004106,pqn-15,nervous-system
WBGene00004112,pqn-22,reproductive-system
WBGene00004115,pqn-26,nervous-system
WBGene00004123,pqn-36,nervous-system
WBGene00004124,pqn-37,epithelial-system
WBGene00004126,pqn-39,nervous-system
WBGene00004129,pqn-42,nervous-system
WBGene00004135,pqn-48,reproductive-system
WBGene00004136,pqn-51,reproductive-system
WBGene00004139,pqn-54,nervous-system
WBGene00004141,pqn-57,rectum
WBGene00004146,pqn-63,nervous-system
WBGene00004147,larp-5,nervous-system
WBGene00004166,scc-2,reproductive-system
WBGene00004175,pqn-96,reproductive-system
WBGene00004176,pqn-97,epithelial-system
WBGene00004188,prp-21,reproductive-system
WBGene00004197,prx-12,intestine
WBGene00004213,ptp-1,nervous-system
WBGene00004220,ptr-5,nervous-system
WBGene00004221,ptr-6,epithelial-system
WBGene00004227,ptr-13,epithelial-system
WBGene00004228,ptr-14,epithelial-system
WBGene00004229,ptr-15,nervous-system
WBGene00004230,ptr-16,epithelial-system
WBGene00004231,ptr-17,nervous-system
WBGene00004232,ptr-18,epithelial-system
WBGene00004236,ptr-22,nervous-system
WBGene00004239,puf-3,reproductive-system
WBGene00004242,puf-6,reproductive-system
WBGene00004246,puf-10,reproductive-system
WBGene00004255,epac-1,nervous-system
WBGene00004258,pyc-1,intestine
WBGene00004265,qui-1,nervous-system
WBGene00004277,rab-18,reproductive-system
WBGene00004287,rac-2,nervous-system
WBGene00004297,rad-51,reproductive-system
WBGene00004306,ran-5,reproductive-system
WBGene00004340,rfc-4,reproductive-system
WBGene00004346,rgs-3,nervous-system
WBGene00004347,rgs-4,nervous-system
WBGene00004349,rgs-6,nervous-system
WBGene00004354,rgs-11,reproductive-system
WBGene00004355,rha-1,reproductive-system
WBGene00004361,rib-2,reproductive-system
WBGene00004374,rme-2,reproductive-system
WBGene00004380,rnf-1,reproductive-system
WBGene00004398,rol-8,nervous-system
WBGene00004403,rom-4,reproductive-system
WBGene00004458,rpn-1,reproductive-system
WBGene00004679,rars-1,reproductive-system
WBGene00004738,scc-3,reproductive-system
WBGene00004746,sdc-2,nervous-system
WBGene00004775,sep-1,reproductive-system
WBGene00004790,sgn-1,nervous-system
WBGene00004795,sid-1,reproductive-system
WBGene00004814,skr-8,intestine
WBGene00004817,skr-11,reproductive-system
WBGene00004824,F56B3.4,reproductive-system
WBGene00004834,sls-2.2,nervous-system
WBGene00004836,sls-2.4,nervous-system
WBGene00004847,sls-2.15,reproductive-system
WBGene00004849,sls-2.17,reproductive-system
WBGene00004881,smg-3,reproductive-system
WBGene00004883,smg-5,reproductive-system
WBGene00004894,sms-3,nervous-system
WBGene00004901,snf-2,reproductive-system
WBGene00004908,snf-9,reproductive-system
WBGene00004915,snr-2,reproductive-system
WBGene00004916,snr-3,reproductive-system
WBGene00004926,snt-6,nervous-system
WBGene00004931,sod-2,reproductive-system
WBGene00004944,sol-1,nervous-system
WBGene00004954,spd-3,reproductive-system
WBGene00004960,spe-6,reproductive-system
WBGene00004962,spe-8,reproductive-system
WBGene00004964,spe-10,reproductive-system
WBGene00004965,spe-11,reproductive-system
WBGene00004966,spe-12,epithelial-system
WBGene00004971,spe-17,nervous-system
WBGene00004972,spe-26,reproductive-system
WBGene00004973,spe-27,nervous-system
WBGene00004974,spe-29,nervous-system
WBGene00004976,spe-41,reproductive-system
WBGene00004981,spl-1,intestine
WBGene00004996,spp-11,nervous-system
WBGene00004997,spp-12,nervous-system
WBGene00004999,spp-14,intestine
WBGene00005001,spp-16,intestine
WBGene00005005,spp-20,nervous-system
WBGene00005013,jmjd-1.1,reproductive-system
WBGene00005027,sra-1,nervous-system
WBGene00005033,sra-7,nervous-system
WBGene00005035,sra-9,nervous-system
WBGene00005038,sra-12,nervous-system
WBGene00005041,sra-15,nervous-system
WBGene00005043,sra-17,nervous-system
WBGene00005046,sra-20,nervous-system
WBGene00005047,sra-21,nervous-system
WBGene00005048,sra-22,nervous-system
WBGene00005057,sra-31,nervous-system
WBGene00005058,sra-32,nervous-system
WBGene00005063,sra-37,nervous-system
WBGene00005064,sra-38,nervous-system
WBGene00005069,srb-4,intestine
WBGene00005070,srb-5,nervous-system
WBGene00005074,srb-9,epithelial-system
WBGene00005078,src-2,reproductive-system
WBGene00005080,srd-2,epithelial-system
WBGene00005081,srd-3,nervous-system
WBGene00005082,srd-4,nervous-system
WBGene00005083,srd-5,nervous-system
WBGene00005086,srd-8,nervous-system
WBGene00005088,srd-10,nervous-system
WBGene00005089,srd-11,nervous-system
WBGene00005090,srd-12,nervous-system
WBGene00005092,srd-14,nervous-system
WBGene00005094,srd-16,nervous-system
WBGene00005095,srd-17,nervous-system
WBGene00005096,srd-18,nervous-system
WBGene00005098,srd-20,nervous-system
WBGene00005101,srd-23,nervous-system
WBGene00005105,srd-27,nervous-system
WBGene00005106,srd-28,nervous-system
WBGene00005111,srd-33,nervous-system
WBGene00005112,srd-34,nervous-system
WBGene00005120,srd-42,nervous-system
WBGene00005121,srd-43,nervous-system
WBGene00005124,srd-46,reproductive-system
WBGene00005127,srd-49,nervous-system
WBGene00005129,srd-51,nervous-system
WBGene00005130,srd-52,nervous-system
WBGene00005131,srd-53,nervous-system
WBGene00005132,srd-54,nervous-system
WBGene00005134,srd-56,nervous-system
WBGene00005136,srd-59,nervous-system
WBGene00005141,srd-64,intestine
WBGene00005144,srd-67,nervous-system
WBGene00005145,srd-68,nervous-system
WBGene00005146,srd-69,nervous-system
WBGene00005147,srd-70,nervous-system
WBGene00005149,sre-1,nervous-system
WBGene00005160,srg-2,nervous-system
WBGene00005162,srg-4,nervous-system
WBGene00005163,srg-5,nervous-system
WBGene00005168,srg-10,nervous-system
WBGene00005170,srg-13,nervous-system
WBGene00005171,srg-14,nervous-system
WBGene00005172,srg-15,nervous-system
WBGene00005175,srg-18,nervous-system
WBGene00005180,srg-23,nervous-system
WBGene00005181,srg-24,nervous-system
WBGene00005182,srg-25,nervous-system
WBGene00005184,srg-27,nervous-system
WBGene00005185,srg-28,nervous-system
WBGene00005186,srg-29,nervous-system
WBGene00005187,srg-30,nervous-system
WBGene00005188,srg-31,nervous-system
WBGene00005189,srg-32,nervous-system
WBGene00005191,srg-34,reproductive-system
WBGene00005193,srg-36,nervous-system
WBGene00005194,srg-37,nervous-system
WBGene00005195,srg-38,nervous-system
WBGene00005197,srg-40,nervous-system
WBGene00005198,srg-41,nervous-system
WBGene00005199,srg-42,nervous-system
WBGene00005201,srg-44,reproductive-system
WBGene00005202,srg-45,nervous-system
WBGene00005204,srg-47,nervous-system
WBGene00005205,srg-48,intestine
WBGene00005207,srg-50,nervous-system
WBGene00005208,srg-51,coelomic-system
WBGene00005210,srg-53,nervous-system
WBGene00005211,srg-54,nervous-system
WBGene00005213,srg-56,nervous-system
WBGene00005215,srg-58,nervous-system
WBGene00005218,srg-61,nervous-system
WBGene00005219,srg-62,nervous-system
WBGene00005221,srg-64,nervous-system
WBGene00005222,srg-65,nervous-system
