Rep,L4440rnai-N2,L4440rnai-elt7,ELT2rnai-N2,ELT2rnai-elt7
1,1,1.6564012,1.741332505,6.997412153
2,1,2.041788894,1.285849843,1.491890858
3,1,0.740265757,2.015351575,1.426520313
4,1,1.134127671,1.496292242,1.660558471
