WBGeneID,mean.rlog.counts,var.rlog.counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
WBGene00000001,10.17143644043229,0.018493131815406103,1132.5215120398984,0.03687224765876282,0.19952226027218253,0.18480267619494065,0.8533838087165576,0.911627713602836,no_sig_diff
WBGene00000002,8.641521647137958,0.1317927067187068,906.5866668765065,-1.6057077405599,0.4798122192696583,-3.3465336564458763,8.182874523894402e-4,0.003938855503195928,depleted
WBGene00000003,8.194403258881298,0.6420068202241441,639.9086629647973,-1.3753219155258272,0.5424656091755531,-2.5353163265336964,0.011234582640000684,0.034986815686297294,no_sig_diff
WBGene00000004,9.097811311262127,0.2324187205755333,2632.6404452676384,-2.7092931145172505,0.5619366265031668,-4.821349929398101,1.4258997187617312e-6,1.3838574465196153e-5,depleted
WBGene00000005,6.339798149930661,0.6262493429368745,142.43895736611444,4.452801542352297,0.7284231210242409,6.112932736252498,9.78166078807915e-10,1.6369290271908626e-8,enriched
WBGene00000006,10.635434372818134,0.8001322758533211,2209.227490410859,-1.5064683361088265,0.6060964964045703,-2.48552556407331,0.0129360295742265,0.039210954194444265,no_sig_diff
WBGene00000007,7.566893601780655,4.704431436669189,181.12549474285404,4.557830464936362,0.9251687984988206,4.926485277423861,8.372191734830753e-7,8.540979150949207e-6,enriched
WBGene00000008,2.334749621924224,4.573690817293302,12.153252198961935,3.9618865626058395,1.6576583852406255,2.390050083829988,0.0168460753551555,0.04843107116155687,no_sig_diff
WBGene00000009,7.467151652774282,0.47504529043100213,64.71059891015236,6.29808031334494,0.6846965502584916,9.198352629303072,3.634792377443457e-20,1.925493399530073e-18,enriched
WBGene00000010,9.62521845315011,0.005759053310431858,976.5228462191728,-0.14573117589881274,0.2146050855247333,-0.6790667403919334,0.49709557511286645,0.6390241524864717,no_sig_diff
WBGene00000012,3.6424833342309464,0.2478954017916622,30.230678754686387,-3.3315726260928367,0.8054014609919952,-4.136536606215504,3.5258712937171396e-5,2.55697946013526e-4,depleted
WBGene00000013,4.549575018230628,1.0568869079622727,42.12382585230809,-1.579173840509785,0.7963766583702911,-1.9829484251100649,0.04737319076465795,0.1112777651887612,no_sig_diff
WBGene00000015,4.263727659867531,0.3390593648032832,9.301667557120924,2.3645078984508476,1.571037170737773,1.5050617149564027,0.1323082107763717,0.24536545023365422,no_sig_diff
WBGene00000016,8.371872625708601,2.084789751092081,256.6544587770734,1.990483315008521,1.0932740945440063,1.8206626544450701,0.06865815236947213,0.14816933328026757,no_sig_diff
WBGene00000017,7.672531297813936,2.6146919763332783,410.7425804146824,-0.02625427799217741,1.3279105763221757,-0.019771118974661765,0.9842259570984059,0.9928699443319913,no_sig_diff
WBGene00000018,11.076350386139637,0.1323087098102823,2752.734542356438,-0.31528516190245537,0.5412000710441232,-0.5825667415271841,0.560184999938333,0.6936078439798874,no_sig_diff
WBGene00000019,2.4173058031057137,0.3890872317710785,9.83989470779322,-1.3240017540030757,1.1394836260539494,-1.1619313553351491,0.24526334940375843,0.3868155569523379,no_sig_diff
WBGene00000020,11.376758019860462,1.6561264900062571,1598.7387519526765,1.8692335868901493,0.6186804623275082,3.021323123503844,0.002516726306402163,0.01022476394189966,no_sig_diff
WBGene00000021,1.0823472529671294,0.084380532732484,6.431679284260517,0.9302346224667302,1.98965910471031,0.4675346747915243,0.6401173898148598,0.7583732058016236,no_sig_diff
WBGene00000022,12.297289425140985,1.0021326348812423,2498.1782353463896,3.7660164308290867,0.7627999433601141,4.937095844868422,7.929450683325654e-7,8.117810055370431e-6,enriched
WBGene00000023,2.687121807932053,1.2261166004509818,63.65520356291388,-1.7006499222952887,1.1401163148874118,-1.491645983912817,0.13579197656570685,0.2503199263524793,no_sig_diff
WBGene00000024,2.063612660698504,0.23345178531636457,135.95102767390455,-3.0652974287889636,1.5155394218832026,-2.0225784856061604,0.043116624186349664,0.10344416370515405,no_sig_diff
WBGene00000027,4.701182116175521,0.9875138654583558,23.050863079241218,-0.2518995048815117,1.0968709776065158,-0.2296528124312142,0.8183615650723074,0.8890787735900917,no_sig_diff
WBGene00000029,1.9455831602580218,1.487785229283234,215.28966321511234,2.452034928054977,1.4834126831880479,1.6529688304843353,0.0983372073208267,0.19567401656267794,no_sig_diff
WBGene00000030,2.668516282082501,3.151286908120635,282.5189289798057,3.5700355256819742,1.758485949378283,2.0301757468941783,0.042338678186069074,0.10191141778026472,no_sig_diff
WBGene00000031,6.797423878863597,0.20695927719429558,2681.811332290774,-3.7321610139192867,1.0154548220694344,-3.675358994616198,2.37515194734497e-4,0.0013524802082619041,depleted
WBGene00000033,4.457421740611791,0.13948534183317385,508.2643843157912,-2.12742142068178,1.0690969016910428,-1.9899238481719794,0.046599324854271776,0.1098914289572915,no_sig_diff
WBGene00000034,5.673285751595677,0.38137009964632923,894.2025504947915,-5.262156933812925,1.0814997801531525,-4.8656107290819275,1.1410390553440083e-6,1.1355683201471534e-5,depleted
