WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00021406,109.82130503037394,0.08654022817015962,0.6900272317222935,0.8606166822308086,0.9358055695884697
WBGene00021407,16.833959457432844,0.055958401686260206,0.8879852151379276,0.9119724206505648,0.9625363545340521
WBGene00021408,13.854852436160344,2.7614767212156273,1.746405917452399,0.0026748764339624264,0.011698540980720323
WBGene00021405,2.324827661721237,0.3343634659543877,1.1356850121469089,0.5051075820950687,NA
WBGene00021409,1.0531336462492762,0,1.3699073680870895,1,NA
WBGene00021404,9.540249689235385,0.8199430129204772,1.1109680966021864,0.15314376445464883,0.3013205308991553
WBGene00001492,699.5911786485171,1.0662169611347703,0.4823775372633085,0.00956387802476259,0.034735088863206885
WBGene00021403,9.851692596787611,-0.2358040429864417,0.9671123086596973,0.6432353569117886,0.7797772269762842
WBGene00235257,4.528465201159761,0.08107942394472656,0.9294872513536813,0.8723399710444647,0.9434248082991481
WBGene00235258,3.585574300494238,0,1.1407977989548195,1,1
WBGene00235260,4.514683152506144,1.0221291680148252,1.1227706618604225,0.0887229472064382,0.20382650197462457
WBGene00235259,0.7004480454233588,-0.030579599650265788,1.3018175159040826,0.9413414741637557,NA
WBGene00235261,3.8448908601400205,-0.46336959112968684,0.9901076134717705,0.380283748989051,0.5579789485439722
WBGene00235262,0.32064204875234414,0,1.449652571295549,1,NA
WBGene00015246,12.148063602656018,0.6282254204778347,0.9240683207307517,0.24558227355974968,0.4153279893663848
WBGene00006599,3317.474486901243,1.3242551003536105,0.44382865716764835,6.15079156799011e-4,0.00331532777952485
WBGene00015247,40.82707881303038,0.1772848930367465,0.5876679097662949,0.701770258252864,0.82484321729396
WBGene00017927,3.962375670565951,0.15897988631975352,0.9514732516327582,0.7532754689745458,0.8630726753676913
WBGene00001111,21.679406299865917,-0.6805996345530987,0.6443741046943106,0.16284699654223167,0.31465125007430483
WBGene00023277,17.88161297558048,-0.02431857922421084,0.7190835313427238,0.9610414420796543,0.9926046440987466
WBGene00017928,1100.4991155499338,-0.71730879713628,0.3160629059268835,0.015136687883073064,0.050750677897855596
WBGene00017929,2267.862088017135,-0.40295198582301245,0.21618174148331254,0.05458751423386972,0.14157671944313252
WBGene00196821,4.714320406266482,-0.3437385820801922,0.9722627897426425,0.5062584073286672,0.6687290586656539
WBGene00017926,5327.47192127394,0.2269441233090145,0.2696608829149605,0.3774748427415875,0.5548098392026803
WBGene00000897,1718.8833555121787,0.9976127058274895,0.23972439296998366,1.4606296964682719e-5,1.3142871804680537e-4
WBGene00000674,2032.8897226863253,-0.7355549269746758,0.4335459068824263,0.05389787604025937,0.14025231172175423
WBGene00198932,6.177065229887054,-0.3438765857313171,0.9549522383711152,0.5065048914869972,0.6689200390499398
WBGene00197291,0.17345918863827653,0,1.449652571295549,1,NA
WBGene00021400,195.08761424523033,0.7594906307670874,0.7386475681102892,0.14249208922672787,0.2867529406097212
WBGene00021398,3.015159796717604,-0.8737239950387465,1.3913756670042599,NA,NA
WBGene00219750,1.0983079002493799,0.25342584788328787,1.2146950944213655,0.5923207317575521,NA
WBGene00021397,140.61855193386936,4.958639827292408,0.765108815201163,1.0056761755442858e-11,3.4015730498715536e-10
WBGene00021396,642.6214240591999,1.1160410729195318,0.6640560856206478,0.02595918346642932,0.07844904455562747
WBGene00198224,4.597188624344239,0.09361627089185463,1.0520690728939899,0.8492270902539018,0.9284265119988613
WBGene00006561,1172.6283156395687,0.24010150055739324,0.3592033473782864,0.46661813060301416,0.6365774801683195
WBGene00021395,829.6501051492817,-0.38746067203937834,0.44600181627186747,0.32067406546353633,0.49810824110904967
WBGene00196851,3.342309314214933,-0.06857450673344205,1.034564249718339,0.8896076443473317,NA
WBGene00021402,382.1890462843037,0.22570464991096958,0.35962465164058066,0.4941925125515884,0.6590869010031325
WBGene00000815,1339.644700475616,-0.7469872166116511,0.21552287583462254,3.4645487737965883e-4,0.0020411749448627395
WBGene00044736,165.0616279699495,0.7127139141299492,0.3510337732864999,0.027267243840395704,0.08165410631568179
WBGene00195063,526.5908321409355,-0.5448612727255808,0.2682506156009098,0.03307097151598048,0.09543236003215112
WBGene00021394,1235.117902899631,0.4755833018902644,0.27257433086136873,0.06679502864577462,0.1655875703549219
WBGene00021401,654.2441884758713,-0.5386217770070556,0.2612406272083807,0.03093549297665988,0.09050604868062628
WBGene00019821,1560.9273807131765,-1.1108845589172052,0.20992741389951247,4.6674719920075675e-8,8.026704373633281e-7
WBGene00019822,1346.5213259397729,-1.3434250302114121,0.22279086205363197,3.861028420714837e-10,9.946643901364827e-9
WBGene00019823,1369.1694348901456,-0.47293631338921494,0.1672198143625613,0.003964601516749493,0.016336173559156654
WBGene00019820,1352.220246916894,-0.6952597211242333,0.19651197982196386,2.811737903389129e-4,0.0017007894181774192
WBGene00019819,2904.3693655596153,1.7969020002927252,0.5767851550623542,1.173952310547313e-4,8.04861361726313e-4
WBGene00001728,0.9399927132068545,-0.33296244173790623,1.2944259268234248,0.4718337721834892,NA
WBGene00019824,854.7195798014211,-1.1340851682309896,0.3154941773688069,1.1357665846256827e-4,7.832499593131861e-4
WBGene00019825,265.0591397134996,0.24750096516003212,0.3850234001506272,0.47810921313047694,0.6461673035343514
WBGene00001071,1011.2550495809662,0.9849649419780506,0.687481516516409,0.052420229952608505,0.13705197337533095
WBGene00020647,1229.633610858751,-0.6167198155236432,0.22918135759533945,0.005307667588003461,0.020982971759510846
WBGene00003932,3355.174589684707,-0.8708889770317638,0.3728893173934146,0.010169106706647812,0.03652410632643597
WBGene00020651,266.39833409887143,1.1074422930185837,0.5643379885457863,0.015272232598079109,0.0511413116523283
WBGene00020650,17.30871291100043,0.5888566433553699,0.6753533318870065,0.2353946283760915,0.4034332338682649
